Content;Likes;Date;Location
Some of the trees your searches are financing find their home in Mechisho, Ethiopia. A local women’s collective makes sure that they will soon be a forest 🌳🌳🌳 (Seriously, what would we do without women’s collectives?)..#1BillionTrees #OneTreeAtATime #Reforestation #Trees #Roots #TreeRoots #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #CO2 #Ethiopia #Women #WomensCollective #Africa #Peace #Grassroots;2,041 likes;February 5;
Fresh pictures from Burkina Faso!.Pics 1 and 2: Our partners do two kinds of monitoring work on the ground. There's an ecological monitoring, whereby they check on the trees, and then there's a socio-economic one. This part is about making sure that the different villages involved are both benefitting from the project and equally contributing..Pics 3 and 4: See the engineers counting the trees your searches have helped us plant! Next to the trees, we also plant herbs and grasses. These serve both to protect the soil from further degradation and to deter cattle from eating the leaves of the tiny tree saplings..At first sight you might think those aren't too many trees. But just take into account that these are growing in the desert. They are tiny from the outside but they’re already building root systems that can go as far as four meters below the surface..Pic 5 and 6: In early December our partners gathered the representatives of the different villages participating in the tree-planting project. This way, villages can learn from each-other and share their experiences with the program..After the monitoring during the last few weeks, and while it’s still the dry season, now the team on the ground will plan ahead for the next months. Based on the results of the monitoring and after listening to the community representatives, they can now make decisions on how to best distribute the investment that your searches will keep providing them with in the near future..Thank you Ecosians for making all of this possible. 🌾✊;1,022 likes;January 30;Burkina Faso
We met this little guy in #Peru. Tree-planting has an effect on all of us, including animals. By planting trees, we aim at restoring entire #ecosystems all while creating economic models that preserve these, and still giving rural communities a chance to lead a good life..Your searches are making this possible, #onetreeatatime. Don’t ever forget that, and feel hugged, Ecosians..#Reforestation #Circle #FloraAndFauna #Trees #Environment #Dog #NoFilter #Peru #SouthAmerica #AmericaLatina #Search #GreenSearch #ClimateAction #ClimateChange;1,760 likes;January 29;
At Ecosia we don't plant trees just for the sake of it. To have a long-lasting impact, we put environmental education first. That's why we work with tree-planting partners that share this belief with us..Like our partners from COPAIBA in Brazil. This women-led organization often welcomes school children to their small project centre. The seeds in the picture were properly dried and labelled to teach the younger generation about different tree species, their importance and how to best take care of them..All our partners put a lot of effort in environmental education. Like our friends @friends_of_usambara in Tanzania, or the very inspiring @rootsandhoots project by the @JaneGoodallInst whose sister institution we're partnering with in Austria @janegoodall_austria.#Education #Environment #EnvironmentalEducation #Reforestation #ClimateAction #JaneGoodall #OneTreeAtATime #Rootsandshoots #Leaders #Future #Forest #Trees;1,107 likes;January 24;
Congratulations Ecosians, today you have reached 20,000,000 planted trees! 🌳💪🏿 😍⠀That's enough trees to circle the entire Earth.⠀Or to provide clean air to almost 3 million people.⠀It's enough to offset the pollution of a car driving up and down the famous #Route66 465,000 times!⠀Thank you, Ecosians, for making a difference. For empowering 32,000 farmers all over the globe to live a better life in harmony with nature. Thank you, for saving endangered species.⠀Stay strong, stay determined and let's keep it up 🌳.⠀#OneTreeAtAtime #1billiontrees #Goals #LifeGoals #Reforestation #Deforestation #TechForGood #Community #Wow #Forest #Empowerment #ClimateAction #Climate #ClimateChange;2,022 likes;January 23;
In Safa, a village in southern Ethiopia, we met Rohama and Nebiyu. From our first handshakes we knew that we were in the presence of a powerful team: two people whose guidance of tree-planting women’s collectives is transforming their region from the roots up. They were a reminder that there are people all over this planet who are brimming with potential. We were also reminded that we have a responsibility to support them, if we can, in fulfilling that potential...#1BillionTrees #OneTreeAtATime #Reforestation #Trees #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #CO2 #Ethiopia #Africa #Peace #Grassroots #Biodiversity;1,132 likes;January 12;
The best part of documenting our reforestation projects for you? Making friends...#1BillionTrees #OneTreeAtATime #Reforestation #Trees #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #CO2 #Ethiopia #Africa #Peace #Grassroots #Biodiversity;1,088 likes;January 11;
Biodiversity is one of the many rewards of reforestation. In Adame (in southern Ethiopia, where these photos were taken), our local partners told us that zebras have returned to the valley for the first time in a century. Our goal for 2018: spot a zebra! (No offense, pretty birds.)..#1BillionTrees #OneTreeAtATime #Reforestation #Trees #Roots #TreeRoots #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #CO2 #Ethiopia #Africa #Peace #Grassroots #Biodiversity;1,783 likes;January 10;
When we climbed Mount Gango in Ethiopia, we saw that your trees, planted on the mountain slope by local farmers, have had a measurable impact on the agricultural activities in the valley below. We knew that trees have this effect – it’s one of the main reasons Ecosia supports reforestation projects – but actually walking through a lush tomato field, in such a dry part of the world, still felt astonishing...#1BillionTrees #OneTreeAtATime #Reforestation #Trees #Roots #TreeRoots #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #CO2 #Ethiopia #Africa #Peace #Grassroots #Agriculture;1,624 likes;January 9;
We regularly check on your trees and visit the people who plant them. Last November, we visited a women’s collective in Siqu Ayo, Ethiopia, and thanked them for leading the reforestation effort. ‘We plant trees to protect our community from desertification, soil erosion, and water scarcity’, one woman replied. Forests, these women taught us, are political, a matter of war and peace: the lack of clean water and of fertile soil are a root cause of civil unrest – when resources are scarce, they said, people tend to fight over them...#1BillionTrees #OneTreeAtATime #Reforestation #Trees #Roots #TreeRoots #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #CO2 #Ethiopia #Africa #Peace #Grassroots;1,795 likes;January 8;
Ever wondered how chocolate actually looks like? This is it. You can produce one chocolate bar out of one cocoa fruit..Oshokin (holding the cocoa fruit) produces one of the most environmentally friendly chocolate in Santa Rosa, Peru. He learned the job from his father who also taught him the benefits of an agroforestry approach when growing cocoa plants. By avoiding mono-cultures, Oshokin benefits himself and nature. More concretely, he helps protect the soil, which will not be depleted as a result of planting rich, biodiverse forests. Not to mention how much cocoa plants benefit from the shade of other trees, especially as they start growing their fruits..Your searches are helping Oshokin and his community maintain their biodiverse and rich forests. So thank you, Ecosians..#Agroforestry #Chocolate #ChocolateNut #Fruit #Biodiverse #Forest #ClimateAction #Sustainability #ChocolateProduction #Sustainable #Smart #Simple #Peru #SouthAmerica #AmericaLatina.🍫 📸 Picture taken in Santa Rosa, Peru, when we met Oshokin and his father Oswaldo;1,647 likes;January 4;
We are so excited to announce to you our brand new apps! Check our bio for a direct link to download the app for #iOS or #Android . Plant trees from wherever you are! .  Link in bio ☺ 💚📲 #gomobile #applaunch #newapp #newrelease #download #newborn #reforestation #deforestation #climateaction #climatechange #climate #green #greenapp #bestoftheday #look #onetreeatatime #onebilliontrees;1,095 likes;December 15, 2017;Berlin, Germany
Jane Goodall has dedicated her life to studying and protecting chimpanzees. We are now supporting one of her institutes, The Jane Goodall Institute - Austria, to reforest wild chimpanzees' habitat and secure their future in Uganda..#Reforestation #Chimpanzees #Apes #Habitat #Nature #ClimateAction #JaneGoodall #Heroes #FemaleLeaders #Africa #Uganda;;December 13, 2017;
1.6 billion people in the world depend on forests to survive. Forests provide many goods, including firewood for cooking, heating and even to build houses.⠀Deforestation means that every day millions of people like Felipe Peña and his family need to walk long distances to collect wood. That's why our tree-planting projects aim at improving livelihoods. This way, families like Felipe's will no longer need to depend on wood, which is beneficial for both people and nature.⠀When we visited our project partners in Peru, we sent Pieter, our Tree Planting Officer, to walk the distance with Felipe. It took them over one and half hours, there and back. Some days, it takes Felipe even longer.⠀See how Pieter managed to keep up the speed with Felipe ----> Link in bio! 🌳🚶🍏⠀#Reforestation #Deforestation #Development #Livelihood #ClimateAction #Wood #FireWood #Family #Cooking #CookingFuel #Fuel #Forests;939 likes;December 11, 2017;
Today is #WorldSoilDay⠀Two-thirds of Earth’s species live beneath the soil’s surface. Reforestation is key to protecting the soil from degradation and water loss. Like an umbrella, trees cover its surface and protect bacteria from the impact of the sun, rain and wind.⠀But the most exciting part happens below the surface. In a group effort to keep entire ecosystems alive, tree roots, fungi and bacteria build a complex and vital network, where they constantly exchange information and minerals with and for each other.⠀In other words, a healthy soil is a healthy environment. And a healthy environment is, of course, a healthy planet.So next time you're in a forest, look down. If we don't protect our soils, the foundation of so many forms of life, we will set in motion a chain of destructive events that will undoubtedly reach humans as well.⠀Not to worry - thanks to you, we're on a mission to protecting our soils, #OneTreeAtATime 🆙 🍃⠀#Reforestation #Soil #Microbes #Trees #Roots #TreeRoots #Deforestation #Forest #Nature #Green #Environment #ClimateAction #TreePlanting #co2 #Ethiopia #Africa;809 likes;December 5, 2017;
We still remember skyping with these two eco tour-guides from Tanzania a year ago. They told us that with our help, they could plant millions of trees. We could hardly believe it but decided to support them..One year later, the results are incredible. So proud to be your partners @friends_of_usambara !.Double tap if you felt inspired to start your own planting project after hearing their story 💛.#Reforestation #Treeplanting #OneTreeAtATime #1BillionTrees #Tanzania #Usambara #Africa #ClimateAction #Green #Sustainable;;December 4, 2017;
Tanzania’s second (lighter) rainy season is in full swing – an opportunity which our local tree heroes are seizing fully. 🍃;;November 30, 2017;
Dr. Jane Goodall is probably the most famous primatologist in the world. She's also a conservationist, anthropologist, and, over all, just an incredible inspiration. At Ecosia we are proud to announce that we are now working with the Jane Goodall Institute Austria to plant trees in Uganda. To celebrate, we will meet Jane in mid December. And we want to give YOU the opportunity to ask her any questions you might have for her..Comment on this picture with a question you would like to ask Jane. We will randomly select 5 of those from your comments here and on our Facebook page. We'll then ask Jane to answer your questions when we meet in only a few weeks. 🐒🍃.***(Photo credit: Jane Gombe, Michael Neugebauer)***.#JaneGoodall #Anthropology #Primatology #Africa #Uganda #Conservation #Conservationist #ClimateAction #Inspiration #WomenLeaders #GirlPower #Trees #Reforestation;2,123 likes;November 27, 2017;
There is much evil in the world. And, sometimes, when you read the news, it seems like the world is doomed. But when we visit our partners on the ground, we’re lucky enough to meet all these tree heroes, like Bernadete from our project in Brazil..People like her make us realise that in all corners of the earth can be found good people, willing to give you and the planet a hand, a smile, all their love. Just because. It's cheesy, we know. But it's just true, Ecosians..What do you say, are you with us? You already helped us reach 17,000,000 planted trees 🙌.#OnBillionTrees #OneTreeAtATime #Reforestation #ClimateAction #Rainforest #Brazil #Trees #Green #Environment #Hope;694 likes;November 24, 2017;
This is where your searches end up 🍃💚 Imagine this, times the ＋16,500,000 trees you've already helped us plant.#1BillionTrees #Goals #Reforestation #TreePlanting;;November 23, 2017;
It’s tree time! The most relevant updates from a few of the projects your searches are financing:.#Madagascar 1＋2＋3The nurseries that your searches helped us build last year are running at full capacity! The seeds of future dry deciduous tree species are currently being put into the tubes, all in preparation for January and February. By then, the trees will have grown large enough to be planted into the earth, contributing to the creation of forest corridors (which are great for animal species such as Lemurs, who otherwise get attacked by predators when strolling through open fields). The Mangrove forests you’re also helping us plant here are looking just as splendid. They’re super easy to restore, too: All one needs to do is stick their dart-like propagules fallen from older trees into the earth. These contain the seeds and, boom, the tree starts growing. If only everything was that easy, *sigh*..#Morocco 4＋5This project is our most delicious one, so to speak: we mostly plant fruit trees here. And, as you can see, they are already about one meter high after only a few months since your searches started financing this project. But the good news does not end there. Slide to the next picture. You’ll see, additional tree nurseries are being built. Soon, the seeds of more future, yummy fruit forests will grow here..#Nicaragua 8＋9This is one of our newest projects. In fact, not even Pieter, our Tree Planting Officer, has visited it yet. And while we wait to do so, we are already getting updates from our partners. After growing for a few months in the nurseries, the trees are now being planted into the earth. These are mostly agroforestry trees, such as cacao. Farmers participating in the project will benefit not only from planting diverse forests, but from their fruits, either for their own consumption or to sell on local and international markets..Now you: What was the most interesting update?;1,393 likes;November 21, 2017;
For the first time, world governments have specifically and officially acknowledged the leadership role of #indigenouspeople in protecting forests and limiting global warming. This is probably the most prominent result from #COP23..And it's an important victory, too, for the world’s 370 million indigenous people whose territories contain around 20% of the world’s tropical forest carbon. Indigenous people have been long marginalised and often criminalised in their home countries precisely for defending their home against encroachments by loggers and farmers..This is another step towards creating awareness for the 'first peoples', as more and more research proves that respect for the territorial rights of communal land is one of the most cost-effective ways of sequestering carbon..How so? Put simply - if you let a community both own and be responsible for their land, they will take care of it. For if nature suffers, they suffer. In fact, we all suffer..So this is a win for us all which we celebrate with this picture of a little Quechua girl that we briefly met in Nueva Esperanza, Peru. Hopefully this new victory will ensure her generation a peaceful, fair future..#IndigenousPeople #COP23 #FirstPeoples #ClimateAction #CO2 #ClimateChange #IndigenousRights #LandRights #Community #LandOwnership #Ownership;969 likes;November 20, 2017;
"- ""If we may ask, how old are you, Señora?""⠀- ""Older than you can imagine.""⠀- ""What's your secret?""⠀- ""A good family, healthy food and clean air.""⠀Very true, Señora, very true.⠀ ⠀#Reforestation #ClimateAction #CleanAir #Peru #Latam #AmericaLatina #Beautiful #Wisdom⠀ Words of wisdom from Santo Domingo, Peru 📷";967 likes;November 19, 2017;
A reminder of the type of landscapes you help us restore and preserve.⠀Tag someone you'd like to take here, to Tanzania.⠀  #Reforestation #Africa #Tanzania #ClimateAction #OneTreeAtATime #Landscape #Mountains #Nature;2,348 likes;November 16, 2017;
We never just visit our tree planting partners. We meet friends and allies in the journey towards a world that is environmentally, socially and economically sustainable, #OneTreeAtATime . Like when Pieter (right) met Rachid (left), our partner in Morocco.⠀ ⠀#Reforestation #ClimateAction #TeamEffort #Team #Community #Friends #Friendship #OneWorld #Africa #Morocco #Maghreb #Shukran;935 likes;November 15, 2017;
Some people simply see plastic tubes. Ecosia users see containers for saplings that will one day grow into wonderful trees, contributing to the restoration of the great Atlantic Rainforest in Brazil..Double tap if you saw trees 💚.#Trees #Rainforest #Brazil #Latam #AmericaLatina #ClimateAction #YesWeCan #1BillionTrees #OneTreeAtATime;1,197 likes;November 14, 2017;
📷 #Regram from @elyxyak⠀Global warming is not just about us, humans. It’s also about biodiversity, both in flora and fauna.⠀Evidence suggests that global warming in the past century has resulted in marked ecological changes, including changes in growing seasons, species ranges, and patterns of seasonal breeding.⠀The survival of many species will depend on their ability to migrate away from increasingly less favourable climatic conditions to new areas that can accommodate their biological and climatic needs.⠀#COP23 #UNFCCC #ParisAgreement #Reforestation #ClimateAction #ClimateChangeIsReal #Sustainability #Future #GlobalWarming;681 likes;November 10, 2017;
By the end of this year some 15 billion trees will have been cut down from the world’s forests. The same as last year, and the year before, and the year before that. Despite decades of research, campaigning and international legislation, deforestation rates are continuing to increase in many parts of the world. Yet protecting and restoring forests is one of the cheapest and most efficient ways to improve local economies and mitigate the effects of global warming.⠀ ⠀And we do not need to wait for governments and international institutions to fulfil their promises. All over the world, people are already taking action to defend and replant their forests. There are many like-minded organisations like @rainforestalliance (regram from them) working in that same direction.⠀⠀So, dear Ecosians, at the face of environmental disaster let's not dispair, but unite. Tag your friends that you think are likely to join our mission to reforest the world. Let's do this! 💪🏾🍃⠀ ⠀#Regram #COP23 #Reforestation #Rainforest #RainforestAlliance #FollowTheFrog #Deforestation #ClimateAction #Environment #ParisAgreement #Hope #Forest #Tree;1,986 likes;November 9, 2017;
Over the next 10 days world leaders are coming together for #COP23 in Bonn. This is the 23rd high-level UN convention that aims at preventing global warming. The Jane Goodall Institut (Austria) has partnered with us to spread an important message from Jane Goodall herself: It’s not just up to politicians to prevent climate breakdown. Each and everyone of us can make a difference.⠀Tag a friend that you'd like to inspire with Jane's message 🍃☺⠀⠀#JaneGoodall #COP23 #Reforestation #Deforestation #ClimateChange #ClimateAction #GlobalWarming @janegoodallinst;;November 8, 2017;
3 reasons why the current talks at #COP23 are so important:⠀1. Nine million people died prematurely from pollution-related diseases in 2015, accounting for 16% of all deaths worldwide.⠀2. Almost all of the pollution-related deaths are happening in poor and developing countries.⠀3. This costs the world an estimated $4.6 trillion a year.⠀📷 Picture by @dokumentarian in Ethiopia where him, Joshi and Pieter are currently gathering stories from the ground 🌱;626 likes;November 7, 2017;
Wishing you a happy weekend with this beautiful hortensia we admired in Peru.⠀⠀⠀⠀⠀⠀#TGIF #Hortensia #Flowers #Flower #Beauty #Nature #Beautiful #Blue;1,050 likes;November 3, 2017;
Greetings from Abdool from @friends_of_usambara , our partners in Tanzania. Your searches are transforming their nurseries. Since our visit earlier this year, they have more than quadrupled in size! Just look at the amount of people: As the rainy season approaches, they're queueing to help transport the trees from the nurseries to Ecosia's planting sites.#Yeah #Trees #Reforestation #Empowerment #Tanzania #Africa #ClimateAction #Soil #Selfie #NoFilter #NoFilterNeeded #ThisRocks;632 likes;November 2, 2017;
He has 1, 2, 3 and 4 trees in his hands! Did you know that every six weeks we publish all our finances online, including an overview of how many trees we have planted on any given month?⠀⠀⠀⠀⠀⠀You can copy/paste the following link to access all our Financial Reports published to date, or you can click on it through our bio: documents.ecosia.org/369415⠀⠀⠀Transparency is important to us. We want to show you how exactly we put to work the money that your searches is earning us.⠀⠀⠀#Transparency #Reforestation #Deforestation #Trees #Sustainability #Trust #Share⠀⠀⠀📷 Picture by our local partner @friends_of_usambara whose project also has an educational value: some of its nurseries are managed by primary and secondary schools.;1,135 likes;November 1, 2017;
⠀Pieter chose the bags for you when he visited our project in Peru & now that the dice have been thrown, he is thrilled to announce the winners! These handmade bags will be shipped to @the_manoushe , @doc_goose , @tatianacaneti and @cafe_kohi . 🎉⠀Congrats to the winners, and thanks to everyone who took part in the giveaway. 🎁 And thank you, Ecosians, for empowering women all over the world with your searches - they provide an income to tree planters which they can then reinvest in improving their own lives. 💚⠀#reforestation #empowerment #women #onetreeatatime #onebilliontrees;548 likes;October 30, 2017;
⠀We just wanted to share the magic with you from the Huayabamba river, Peru. We took this picture on our recent trip to one of our newest projects over there, thinking of how to sweeten a Friday evening for you 😉⠀#TGIF #Sunset #Peru #AmericaLatina #LatAm #Huayabamba #Reforestation #Climate #ClimateAction #NoFilter #Nature #River;820 likes;October 27, 2017;
⠀We missed you during our last trip to Peru. That’s why we brought you a gift. 💙⠀These beautiful little bags are handcrafted by a group of women we met on our trip to Ecosia’s reforestation project in Piura, Peru. The revenue from selling these bags goes to local initiatives aimed at teaching rural women various skills, such as handicraft or better writing and reading abilities.⠀Wherever you live, you can #win one of these beautiful, hand-made bags by (1) following @ecosiaorg on Instagram, (2) liking this picture and (3) tagging three friends in the comments. Easy! The four lucky winners will be randomly selected and announced on Monday, October 30th. Good luck you #TreeHeroes;935 likes;October 26, 2017;
Icha is a very curious girl. She loves learning new words and no foreign language is a barrier to her. “Camera”, “headphones”, “lens” - she’d hear it once and remember forever.⠀Your searches provide her parents with a salary from tree planting. This gives them an extra income that they can invest in Icha’s education and health. By the time she’s all grown up, it will be Icha’s turn to teach the next generation about cameras, headphones and lenses, or anything else she is passionate about.⠀#reforestation #girl #education #empowerment #trees #environment #climateaction #impact #onetreeatatime;577 likes;October 25, 2017;
⠀Update from your trees in Madagascar! 🌱⠀In this project your searches are financing the reforestation of both inland forests (see pictures of the trees grown in nurseries) as well as coastal, weirdly beautiful Mangrove forests (see pictures where the community members simply stick dart-like propagules that contain the seeds into the earth).⠀The larger Mangrove trees you see are already 9 months old and have all been financed through your searches. As they grow, these trees will improve environmental conditions, creating a better habitat for maritime life to breed and spread further.⠀Once the trees in the nurseries are planted, right before the rainy season, they will help protect the northwestern inland of Madagascar against flooding in the hurricane season.⠀Keep it up, Ecosians. You’re changing everything #OneTreeAtATime⠀📷 Thanks to our partners @edenprojects for taking & sending these pic updates!;978 likes;October 24, 2017;
⠀As we visited our planting project in a rural area in northern Peru, Señora Villalobos met us, simply, with a smile. And we wanted to share it with you. Let's hope the weekend will be as sweet as this lady!⠀#TGIF;586 likes;October 20, 2017;
Shumin and Rini think of themselves as a team.⠀While Shimin wakes up every morning at 5 am to tap their rubber trees, Rini supports her family at home. Their main goal? Making Damil’s (left) and Rino’s (right) dreams come true of becoming a police officer and a medical doctor, respectively.⠀And your searches are helping. The money Ecosia raises thanks to you finances the planting of a diversity of native trees. As these trees grow into forests, they will provide Rini with a salary. Boom, you have doubled this household’s income. A diverse forest will also improve the quality of their soil, allowing them to grow more and better crops.⠀This cross-border team effort between your searches and Shumin’s and Rini’s hard work will result in better material conditions for them and a healthier planet for all of us - #OneTreeAtATime.⠀#Indonesia #Reforestation #Trees #Deforestation #Development #DevelopmentHelp #Children #School #Education #Plantations #Diversity #TeamEffort #Environment #Planet #GreenPlanet #Green #Sustainable #Sustainability #Search #Tech #TechForGood;479 likes;October 19, 2017;
Progress!⠀After three months, our almond tree nursery in Morocco has been weeded. ➡️ Swipe to see how much the saplings have grown! 🌱⠀📷 by our partner: @highatlasfoundation 💚;1,165 likes;October 17, 2017;
Today, Ecosia has reached 15 million planted trees – thanks to your searches. 🎉⠀15 million trees = water cycles restarted15 million trees = tons of CO2 neutralised15 million trees = 30,000 jobs created15 million trees = habitats of endangered animals restored⠀Thank you, Ecosians, for giving back to our planet,#OneTreeAtATime 💚⠀#Reforestation #OneBillionTrees #SocialBusiness #TreePlanting #Conservation #ClimateAction #Ecosia #Startup;1,783 likes;October 16, 2017;
Our final #TreeHero this week is Severino. When we met him last week in Brazil, we asked him a very simple question: Apart from using Ecosia, what more can we all do to support the environment? This is his message to all of us. 💡Severino is coordinator of the “Pacto Mata Atlántica”, our partners on the ground. PACTO regroups around 300 NGOs all over the Brazilian Atlantic Rainforest that unite forces in the huge task of reforesting this once enormous and rich forest, #OneTreeAtATime.;;October 13, 2017;
"Dirk Jan is a legendary #TreeHero. He's also our local partner in Borneo. He sent us an email today which we'd like to share with you:⠀""Sustainably produced palm oil does not exist. Even 'certified sustainable' palm oil creates severe pollution, and after one or two 25-year cycles of palm oil, the soil is left dried-out, toxic and useless for any other kind of agriculture.⠀We need to keep developing a market for alternatives to palm oil. Just one hectare of mixed forest can produce a similar amount of produce compared to palm oil, but of a much higher quality and storing more CO2.⠀People and businesses can help end palm oil monocultures by buying products made with ingredients sustainably harvested from wild forests or agroforestry-like production systems instead of products that contain palm oil.""⠀#OneTreeAtATime #Reforestation #Deforestation #TreePlanting #Trees #Forest #Indonesia #Borneo #Alternative #Green #Sustainability #Sustainable #Conservation #ClimateAction #Climate #Nature";461 likes;October 12, 2017;
Today is #DayoftheGirl! High time for you to meet Fatouma, a very young #TreeHero from Tanzania with an important message 💚⠀#OneTreeAtATime #Tanzania #Africa #Reforestation #Deforestation #Climate #ClimateAction #Environment #Education #ClimateChange #Conservation #Green #Sustainable #Sustainability #Alternative #Search #Ecosia #OneBillionTrees;;October 11, 2017;
Ana Paula is a true #TreeHero.⠀⠀⠀When she was only 17, Ana Paula decided that she could no longer just stand by and watch the environmental degradation taking place around her home town in Brazil. She and her friends decided to lead the way. They went out to cattle fields on a self-proclaimed mission to protect and restore the Brazilian Atlantic Rainforest.⠀⠀⠀When farmers asked them what they were doing, they simply said: we're planting trees, what are you doing?.⠀⠀⠀Today, almost 15 years later, Copaiba - named after one of their favourite tree species - is a fully women-led organisation dedicated to restore landscapes #OneTreeAtATime.⠀⠀⠀Your searches are now supporting Ana Paula's dreams. This is not just any tree-planting project, but one fully led by women with a mission to empower their peers.⠀⠀⠀#Brazil #AtlanticRainforest #Rainforest #Reforestation #Women #Empowerment #Trees #TreePlanting #Activism #Heroes #Green #Environment #ClimateAction.⠀⠀⠀📷 We felt lucky to meet Ana Paula at Copaiba on our recent trip to Brazil;642 likes;October 10, 2017;
When is the last time you checked Ecosia’s tree counter? We're about to reach 15 million trees and to celebrate towards that incredible goal, this week we're highlighting the people around the world working with us to reforest the planet.⠀⠀⠀Our #TreeHero today is Oswaldo del Castillo Vásquez.⠀Oswaldo lives in Santa Rosa, a small community in the region of San Martín in Peru. This region lies right in the Peruvian Andean Amazon forest. San Martín was heavily deforested in the decades of the 80s and the 90s. Once ruled by the drug mafia, the region suffered an over exploitation of its forests and soils related to cocaine production.⠀A mixture of luck and governmental policies changed the cocaine routes away from San Martin, giving this region a very much needed break. That’s when the community stepped in.⠀Determined to restore the richness of their soils and their forests, Oswaldo led his and neighbouring communities to gather and create the ACOPAGRO association. His goal? Ahead of our time: Creating a fair trade and organic farmer cooperative. In the long term this would allow them to build a whole agroforestry system in the region.⠀This way, Oswaldo realised, not only would they be helping themselves but also protecting and restoring the rich nature they are surrounded by and on which they depend.⠀📷 Oswaldo told us his story when we visited our project in Peru two weeks ago⠀#Agroforestry #Reforestation #NewBeginnings #Amazon #Rainforest #Peru #LatinAmerica #Sustainability #Trees #Cacao #Farmers #Heroes;591 likes;October 9, 2017;
In a few years, this carob tree will produce up to ONE TONNE of fruit per season – an excellent reason for the local population never to cut it down. It's one of the tree species your searches are planting in Morocco. Happy Friday, Ecosians! 🎉🌱💚⠀#onetreeatatime #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup;964 likes;October 6, 2017;
Not just cute.Orangutans are also threatened. These past two decades, their habitat has halved in size. But it's not too late to help them. Thanks to your searches and our Indonesian tree-planting partner, we are able to restore the habitat of our simian cousins, #OneTreeAtATime. Thank you, Ecosians, for making this #WorldAnimalDay a hopeful one.⠀#Indonesia #Borneo #Reforestation #Deforestation #PalmOil #Logging #Forest #Green #Sustainability #Sustainable #Animals #Apes #Primates #Tree #Trees #Development #Climate #ClimateAction #ClimateChange #Warming #GlobalWarming #Optimism #TechForGood;845 likes;October 5, 2017;
Besides restoring some of Tanzania's natural forest (focussing on mountain slopes in view of preventing erosion) our project in Tanzania has educational virtues: some of its nurseries are managed by primary and secondary schools. For a few hours per week, the pupils tend to the seedlings, learn about environmental protection, and eventually get to take the seedlings home to their farms. Watching these seedlings grow into trees, and seeing these trees benefit their families, is a lesson that will stay with them for life.⠀ 📷 by our local partner, @friends_of_usambara 🌳⠀#OneTreeAtATime #Tanzania #Africa #Reforestation #Deforestation #Climate #ClimateAction #Environment #ClimateChange #Forest #NoFilterNecessary #Conservation #Green #Sustainable #Sustainability #Alternative #Search #Ecosia #OneBillionTrees;975 likes;October 4, 2017;
Your searches have completely transformed @friends_of_usambara's nursery. Since our visit earlier this year, it has more than quadrupled in size. Look at it! 😍⠀#OneTreeAtATime #Tanzania #Africa #Reforestation #Deforestation #Climate #ClimateAction #Environment #ClimateChange #Conservation #Green #Sustainable #Sustainability #Alternative #Search #Ecosia #OneBillionTrees;872 likes;October 3, 2017;
🎉 Happy birthday to this tree! Could you have guessed how old it is? 🌳 Let's plant many more together.⠀#OneTreeAtATime #Reforestation #Deforestation #Peru #startup #environmentalism;;October 2, 2017;
💚 Thank you, Ecosians 🌱⠀#OneTreeAtATime #BeforeAfter #Trees #Africa #BurkinaFaso #Forest #Sahel #Desert #Climate #ClimateAction #ClimateChange #Environment #Heat #BeatTheHeat #Dry #DrySeason #RainySeason #Search #Alternative #Ecosia #Change #Goals #OneBillionTrees #Social #StartUp #SocialBusiness;2,943 likes;September 29, 2017;
We discovered this fruit tree orchard behind a long range of bare hills. These fruits are the living proof that no amount of sand, rocks, and heat can stop our tree-planting partner, the @highatlasfoundation, from restoring the hills of northern Morocco to their original fertility, #onetreeatatime. 🍊🍑🍏⠀#Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup#onetreeatatime #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup;597 likes;September 28, 2017;
We're currently travelling through Peru and Brazil to show you the impact that your searches are having here 🌳 We can't wait to share our findings with you soon ❤️⠀#OneTreeAtATime #Reforestation #Deforestation #Peru #Brazil #coffee #startup #environmentalism;577 likes;September 27, 2017;
Sometimes you don't need words to make new friends.⠀📸 from our recent project visit in Indonesia⠀#OneTreeAtATime #reforestation #deforestation #Indonesia #friends #bff;544 likes;September 26, 2017;
"Environmentalist Naomi Klein aptly summarizes where the dangerous political shift to the right might lead:⠀""Rather than recognizing that we owe a debt to migrants forced to flee their lands as a result of our actions (and inactions), our governments will build ever more high-tech fortresses and adopt ever more draconian anti-immigration laws.""⠀At Ecosia, we believe in global compassion, helping and empowering those in need and standing up against discrimination and environmental destruction. We're all #inthistogether.";;September 25, 2017;
